Issue Number;Title;State;Created At;Updated At;URL;comments;body
1876;History;closed;2022-09-21T08:51:47Z;2022-09-28T17:07:07Z;https://github.com/yuliskov/SmartTubeNext/issues/1876;12;"Hello, I am using smarttube 15.81 on a fire tv 4k max stick. I have the problem that the history is not saved. But I can see the history of the videos I've looked at on the pc. any suggestions?
greetings
sixer
"
1386;"""Video May Be Inappropriate for Some Viewers"" issue";open;2022-03-27T22:03:15Z;2022-08-24T17:45:34Z;https://github.com/yuliskov/SmartTubeNext/issues/1386;12;When attempting to watch certain videos, generally videos that feature some sort of police procedure, or a shooting, a message appears saying that the video may be inappropriate for some users. This does not occur on standard YouTube. My Settings don't normally cause this effect. This has happened before and resolved itself at some point. And now, it's happening again. Any assistance offer is greatly appreciated, thank you very much for this wonderful app.
1306;no youtube code;open;2022-02-11T10:23:02Z;2022-02-23T06:53:41Z;https://github.com/yuliskov/SmartTubeNext/issues/1306;12;no youtube code
672;Version 11.33 lots of stuttering and video not playing ;open;2021-06-16T01:30:53Z;2021-06-28T23:09:26Z;https://github.com/yuliskov/SmartTubeNext/issues/672;12;Still with the latest verdion 11.33, I am getting more problems with video playback than ever before but it was also a probem in the past. Buffering and stuttering or not playing after working fine for a while. Also still getting the video codes not recognised message too which does resolve itself, but borrows 10 seconds of my time. I've got a fast Internet connection, so am not enjoying these problems at all. Hopefully they can be fixed permanently. Wiped days and cache in the hope of having a fresh install working better, but it didn't help at all. 
641;11.27 Crashes Firestick Installer ;closed;2021-06-01T05:32:55Z;2021-06-15T10:07:34Z;https://github.com/yuliskov/SmartTubeNext/issues/641;12;"I have been using SmartTubeNext since the beginning and never have encountered any issue until now. Suddenly I started SmartTubeNext on my Firestick 4k and got a notification from the app that there was an update for SmartTubeNext Version 11.27. I clicked the ""Install Update"" from there is when the installer menu pops up and then suddenly crashes. I have installed other Apps on my Firestick to make sure it wasn't the Firestick itself and to diagnose the issue. Yet SmartTubeNext is the only App this happens with. If in need of anymore information please let me know. Thanks for your hard work and great application.
Specs are as follows:
Fire OS 6.2.7.3
Fire TV Home Version: 6240042.1
SmartTubeNext Installed version: 11.22
SmartTubeNext Settings: SponsorBlock Enabled
Process Taken to Update: Always use the Apps Update Notification and Install directly from the App.
"
556;Version 10.141 Limited to 10Mbps ;open;2021-04-02T14:08:31Z;2021-04-24T18:59:36Z;https://github.com/yuliskov/SmartTubeNext/issues/556;12;"Just as the title says, SmartTubeNext version 10.141 is limited to 10Mbps.
This makes watching 4k content impossible except on the lower frame rate content.
I have troubleshooted the problem down to SmartTubeNext itself. 

My system = NVIDIA Shield Pro (2019 model.)

Is there any fixes/workarounds for this problem? "
2746;"18.58 - ""Can't load content - Sign in"" immediately after content is loaded";closed;2023-07-26T01:46:48Z;2023-07-31T08:02:32Z;https://github.com/yuliskov/SmartTubeNext/issues/2746;11;"Previous version was working. I did have some problems with the subtitles so I updated since the new version had some fixes for that.

Right after update, it will load the Home screen content, but after a flash glimpse of those, it immediately goes to the ""Can't load content 1) check date time 2) network 3) proxy. etc - Sign in""

I tried revalidating my log-in via web browser on computer but it still does the same thing.  Tried rebooting device, same thing.

Nvidia Shield 2017."
1888;ad blocking on firestick 4k no longer works;open;2022-09-25T06:11:58Z;2023-02-17T06:44:36Z;https://github.com/yuliskov/SmartTubeNext/issues/1888;11;About 2 months ago (early August 2022) ad blocking stopped. Was hoping an update would remedy this?
1818;Video source isn't working or incorrect time error;open;2022-08-25T01:22:57Z;2023-04-16T08:55:26Z;https://github.com/yuliskov/SmartTubeNext/issues/1818;11;While logged into a YouTube account or signed out I keep getting 'Video source isn't working or incorrect time error' on many videos using a Firecube and using version update 15.81. I checked the same videos on my PC and they work fine. What is causing this problem? The last several updates have caused so many problems.  It is so frustrating.
1410;Support for chapters in videos;closed;2022-04-07T06:42:19Z;2023-01-11T22:27:19Z;https://github.com/yuliskov/SmartTubeNext/issues/1410;11;"Hi there!

I've been using SmartTubeNext for a few years as my main YouTube player and so far I've really been enjoying, thank you for the amazing work!

I wondered if it would be possible to add support for chapters in videos (example here : https://www.youtube.com/watch?v=pvkTC2xIbeY). Many of the videos I watch are chaptered and this helps a lot when looking for a specific part.

I don't know how it could be implemented exactly, maybe it could be a simple mark on the progress bar to indicate where the chapters at first?

Chapters navigation (aka jumping to another chapter) could be done by adding two buttons on the toolbar, one to go the previous chapter, another to go to the next chapter.

And when jumping to a new chapter, maybe the chapter's title could be temporarily shown above the progress bar, just below the title - or permanently shown if the user chooses so in the settings.

What do you think of this?

Thanks in advance for your answers!"
1301;Nvidia Shield Pro HDR and 5.1 Problem;open;2022-02-09T22:11:09Z;2022-02-14T08:02:34Z;https://github.com/yuliskov/SmartTubeNext/issues/1301;11;good evening, first of all I just want to say that is a great app!!  I have a small problem with the Nvidia Shield Pro, although HDR and 5.1 no longer work.  on my fire tv cube has HDR and 5.1 works on their app.  I don't know if you already know the problem?  and wanted to let you know maybe they can somehow fix it in the next update or later.  Thank you very much for this app and of course I will donate something for this great app, keep it up.
1109;Videos are no longer added to History section. Error occurred.../cache/PlayerData;open;2021-12-03T14:19:24Z;2021-12-08T00:34:15Z;https://github.com/yuliskov/SmartTubeNext/issues/1109;11;"Hi!

Since yesterday i am having this error on all my devices on the app's stable versions like v13.47_r or v13.31_r
Some devices were booted up just to test (not used in a while and everything was fine before) and i also uninstalled and reinstalled/cleared data on multiple devices but i am still having the problem

Basically any new video that you play does not go to the History section anymore (on other apps or in PC browser works fine) and i get this error the first time i load a video with a clean cleared cache app:

Error occurred. Detailed info has been saved to /storage/emulated/0/Android/data/com.teamsmart.videoamnager.tv/cache/PlayerData

When i manually go to that folder path on a device that has root it says it's empty

Please help as i use the History section a lot. Thank you"
1001;Audio language selection;open;2021-10-23T20:33:01Z;2023-07-21T22:24:26Z;https://github.com/yuliskov/SmartTubeNext/issues/1001;11;"YouTube added something silly, now video's can have multiple audiotracks, and currently there is no way to switch them on SmartTubeNext.

This wouldn't be an issue but I don't speak any Spanish which it seems to love to default to."
626;Default option to automatically select best video/audio for playback based on video being played.;open;2021-05-18T12:25:47Z;2021-05-18T20:46:55Z;https://github.com/yuliskov/SmartTubeNext/issues/626;11;"There needs to be a ""default"" option for both video and audio quality so that whatever clip you play plays back at the best (highest) video and audio quality based on the clip automatically, just like ""default"" in the SmartYouTubeTV app. Having to manually set the video/audio quality for every video played seems to be a step backwards in functionality from what was available in the SmartYouTubeTV app."
505;Bridge not easily accessible / installable;open;2021-03-09T17:18:21Z;2022-01-19T02:39:40Z;https://github.com/yuliskov/SmartTubeNext/issues/505;11;"I'm a longterm user of SmartYouTubeTV / SmartTubeTV

I really appreciated the feature you incorporated into an old release of SmartYouTubeTV, where it would prompt new installs to install the bridge-app that allowed your FireTV to recognize SmartYouTubeTV as being YouTube itself / send voice searches for YouTube there / launch with the YouTube icon / etc.

When I installed SmartTubeTV, the old bridge updated to redirect to SmartTubeTV which was great :)

However, on a friend's fire stick, I had an issue a while back where after installing / uninstalling / reinstalling SmartYouTubeTV, the bridge app disappeared – as did any notification to install it

Moreover, when more recently I uninstalled SmartYouTubeTV altogether, and installed SmartTubeTV from scratch, I was never given an option to install the bridge app – and thus, the FireTV refused to recognize SmartTubeTV as YouTube

I was at a loss as to what to do, as the bridge apk has no public listing that I could find – be it in the releases for SmartTubeTV, SmartYouTubeTV, or anywhere else on the internet

HOWEVER, after digging through the issues of SmartYouTubeTV, I finally found this issue: https://github.com/yuliskov/SmartYouTubeTV/issues/697

In it, you directly link to the bridge app – https://github.com/yuliskov/SmartYouTubeTV/releases/download/stable/Amazon_SYTV_Bridge.apk

So I was able to download that, install it onto the FireTV, and viola – it worked perfect!

So... basically, I recommend making a public listing for that Amazon_SYTV_Bridge.apk – be it here on this github in the releases, or elsewhere – and / or giving a menu-option in-app to install said .apk within SmartTubeTV

Thank you for your consideration!"
232;Link with TV code;closed;2020-12-02T16:37:05Z;2022-08-04T02:39:51Z;https://github.com/yuliskov/SmartTubeNext/issues/232;11;Where's the 'Link with TV code' option?
173;Feature request: Add SponsorBlock to app;closed;2020-11-21T19:19:10Z;2021-01-26T07:55:50Z;https://github.com/yuliskov/SmartTubeNext/issues/173;11;"From the website [https://sponsor.ajay.app/](https://sponsor.ajay.app/) :
_SponsorBlock is an open-source crowdsourced browser extension and open API for skipping sponsor segments in YouTube videos. Users submit when a sponsor happens from the extension, and the extension automatically skips sponsors it knows about. It also supports skipping other categories, such as intros, outros and reminders to subscribe._

I use it on my phone in Youtube Vanced. It's amazing."
2270;Video Keep Buffering On Firestick TV;closed;2023-03-01T05:19:18Z;2023-03-12T01:19:06Z;https://github.com/yuliskov/SmartTubeNext/issues/2270;10;I've been having the issue where. it plays the video and then buffers for a long time after then goes back to buffering. Im guessing it has to do with YouTube way of how they now deal with adblockers.
2120;Feature request: Absolute dates in video player;open;2023-01-09T17:54:40Z;2023-01-29T22:16:30Z;https://github.com/yuliskov/SmartTubeNext/issues/2120;10;"As of a couple months ago (I think) the way the video player displays dates changed. It used to switch between relative date like ""2 years ago"" and absolute date like ""January 17 2022"". Now it _only_ shows the relative date. 

My request is to either restore the previous behavior where it switches every time or allow the user to specify their preference for relative or absolute date in the configuration. "
1916;How does ad blocking works in this app? ;open;2022-10-11T21:33:46Z;2023-07-06T23:42:37Z;https://github.com/yuliskov/SmartTubeNext/issues/1916;10;"Hello, 

How does ad blocking works in this app? is it because there is web container with ublock support in this app or something else? Please direct me to any part in readme or existing thread that explain this part. I tried searching but did not get good results. 

Cheers"
1885;在小米电视上如何安装？;open;2022-09-24T11:18:14Z;2023-02-23T01:48:23Z;https://github.com/yuliskov/SmartTubeNext/issues/1885;10;"下载15.99放在U盘上，然后插入小米电视，找到APK文件，提示风险，点击继续安装，然后出现错误10000

是有什么特殊的安装方式吗"
1769;After updating to 15.78 Smarttubenext;open;2022-08-12T03:27:20Z;2022-08-15T06:11:37Z;https://github.com/yuliskov/SmartTubeNext/issues/1769;10;"I know ur probably seen a ton of these, but after installing the 15.78 SmartTubeNext update. The one thing I haven't seen mentioned yet is that it will play videos that are live, but all the others. It acts like it will start then crashes back to the top of the list of. Whatever page ur in the goes blank again and when it comes back on its on the video you were just trying to watch. It's doing this on my android phone and all of my fire tv devices!! Before I had downloaded the update the videos were working, but the were buffering. Like every 3 seconds!!
One other thing that was happening the past couple days to me atleast. Was while watching SmartTubeNext I kept having one specific app that kept loading all on its own. That app was the Peacock app on my amazon fire tv. I do wonder though if any of these issues could be because of Amazon's latest update that the have tinkered with the Developer settings?"
1766;Fixed: Thanks yuliskov!! ;closed;2022-08-11T23:17:27Z;2022-08-13T17:13:57Z;https://github.com/yuliskov/SmartTubeNext/issues/1766;10;"New update fixes the playback issue! I know this technically not a new “issue” but I just wanted to create this to thank the dev(s)! SmartTube Next is the best thing ever. Absolute Legend(s)! 

"
1645;Playback speed too many options;open;2022-06-26T17:16:34Z;2023-02-24T21:38:55Z;https://github.com/yuliskov/SmartTubeNext/issues/1645;10;"Playback speed too many options 1.00 1.05 1.10 1.2 1.3 1.5 ...

Please reduce options 1.00 1.25 1.5 1.75 2.00

Thank you"
1497;[Issue] Date of publishing of the video, missing from thumbnail small row;open;2022-05-06T22:53:19Z;2022-08-15T12:52:04Z;https://github.com/yuliskov/SmartTubeNext/issues/1497;10;"Since 4-5 days, date of published video is randolmly missing from most of the thumbnails second row, for most channels.
Instead we get useless info like ""Song"", ""New"" etc. 
'Date of publish' is a must, next to 'channel name' and even more important than 'view count'. Establishing how old is a video is now impossible without playing. Not all videos, not all channels have this problem. But most, do.
And looks like original YT has similar problem, maybe there is a bypass on STN end also, from our brave @yuliskov  


"
1448;MrBeast Video in some random language I can't understand;closed;2022-04-20T21:06:20Z;2022-12-30T17:11:27Z;https://github.com/yuliskov/SmartTubeNext/issues/1448;10;"For some reason when I watch a MrBeast Video it isn't in English but in some other language. On my phone the same Video is in english as normal. I haven't seen this on any other channel than MrBeast.
https://user-images.githubusercontent.com/59659167/164322806-6d9125d0-c2e1-437c-be4e-adbf3294f3e8.mp4

Also, why is there a newer version available than even the Beta? I have updated to 14.62, but that version doesn't exists in the releases??"
1221;(BUG) Microphone on search button stopped working with new Shield TV update!;open;2022-01-13T02:44:16Z;2022-07-28T22:00:30Z;https://github.com/yuliskov/SmartTubeNext/issues/1221;10;"I just upgraded my Shield TV Pro 2019 Model to SHIELD Experience 9.0 ""Android 11"" and now the Microphone does not work on the search button.

Can you fix this please?"
1097;Channels catalogues are missing;open;2021-11-30T12:00:40Z;2021-12-16T02:55:19Z;https://github.com/yuliskov/SmartTubeNext/issues/1097;10;When I open a channel in SmartTubeNext all videos are in one big mess and the channel's calalogization is missing. If the channel is big, it's not possible to locate a needed playlist, e.g. video lessons sorted by topics.
1083;View videos in a playlist;closed;2021-11-25T18:55:34Z;2022-01-02T13:19:52Z;https://github.com/yuliskov/SmartTubeNext/issues/1083;10;"For a short time if went to a channel or did a search and found a playlist then clicked on it, I would see a list of the videos in that playlist. I loved it. It made it so much easier to find a video I wanted to watch. 

Now it seems that is gone and it's back to the original way which is click on a playlist and it plays the first video, which sucks and really damn annoying. If I want to watch a video in the middle of the playlist I have look at the first row of suggested videos and then hope the video I want to see is listed. I also have to hope they are in the right order, which isn't always the case.

The only thing close to that what it shortly once was is; select the playlist, bring up the menu and select Open Channel which then options the list of video for that playlist. Just two little problems; one is that is oddly worded then, and two it'll always open in a grid. What happened before was that the playlist would list the videos in a row. I wouldn't have too much of a problem with that either way but give an option for it.

Speaking of options, if people want it so they click on a playlist from another channel and it just plays the first video, fine. But then you have people like me that want to see the list of videos. So give everyone that option of what happens when we click the playlist and how that list is displayed.

Side note, the Pin/Unpin From Sidebar is missing for playlists other than my own."
1066;[bug] Cast isnt listed on phone after TV goes idle or app is exited;open;2021-11-20T15:01:31Z;2023-08-25T14:16:36Z;https://github.com/yuliskov/SmartTubeNext/issues/1066;10;"Hello,

I have an issue with **casting** to my Sony BRAVIA while using **SmartTubeNext**.

Issue : The option to cast to the app disappears from the phone Youtube / Vanced app after some time, typically after jumping to another app or turning off the tv (not a real turn off, it puts the tv on a ""sleep like"" mode).

Solutions : Force stopping the app to restart it or doing a full restart of the tv solves the issue momentarily. It shows again the option on the phone. 

Tested : I tested the setting cast > run in background both on and off, I tried to remove all device and link again, I tried with two different phones and I tried with vanilla Youtube and Youtube Vanced (root), all without success.

Request : please investigate & fix or advise."
910;[Bug] The FPS on Presets are not respected anymore in recent versions.;closed;2021-09-19T21:47:37Z;2022-01-09T17:47:17Z;https://github.com/yuliskov/SmartTubeNext/issues/910;10;"The bug is that the fps is not respected anymore. 
I use the preset with 2160p 30fps vp9 hdr. All the streams that was automatically selected use 30fps max, even if it makes the resolution fall to 720p/30fps. Now it plays 60fps regardless of the preset. The preset of 30fps is completely ignored.

The intented behavior is to STN to select the best resolution that have 30fps max. 
Because my x96max+ only plays well in increased speed with maximum os 30fps.
The last working version is 11.98."
793;Unable to update app on Chromecast with Google TV;open;2021-08-07T03:41:24Z;2023-06-27T13:42:51Z;https://github.com/yuliskov/SmartTubeNext/issues/793;10;"I really love this app, and it works fine on my fire stick and I can install the APK find on a Chromecast Android TV v10 with Apr 5 2021 security patch.
     The issue is the built in upgrade feature will not let me update the application. I have set the application up in the OS to allow unknown sources but the update process seems to get caught up in a loop, no matter if I allow the app to install unknown sources or not. The OS will not let SmartTubeNext install a new APK.
     This may be an issue with Android TV v10 Apr 5 2021 update but I could not find a bug to validate it. 
     AFTVnews Downlonloader works to install apps from their app on the same device with the same process.
     I am a huge fan and only trying to alert you that this is happening. Thank you! "
530;Autoplay keeps playing the same video over and over again;open;2021-03-23T03:57:50Z;2022-02-05T09:43:38Z;https://github.com/yuliskov/SmartTubeNext/issues/530;10;"1) Play a video
2) Let the next one play automatically.
2) After about 2-3 autoplays, you eventually end up playing the same video you played 2-3 plays ago.

We need a way to make sure that autoplay only plays new videos and not the same video twice, even if you autoplay 100 videos in a row. "
462;Casting stopped working;closed;2021-02-11T17:16:52Z;2021-03-20T13:09:58Z;https://github.com/yuliskov/SmartTubeNext/issues/462;10;After the last few updates casting from Vanced at least, has stopped working. Connecting via code does nothing.
83;Bug:  subscription button doesn't work;open;2020-11-03T12:40:54Z;2020-11-05T15:56:24Z;https://github.com/yuliskov/SmartTubeNext/issues/83;10;On Sony x950G.  I have notice the subscribe button doesn't behave as intended, when attempting to subscribe and/or unsubscribe.  Thank you Devs for your work.  The app is really progressing.   
2708;[Request] Possible App for Odysse;open;2023-07-13T19:48:48Z;2023-07-18T14:46:37Z;https://github.com/yuliskov/SmartTubeNext/issues/2708;9;"Hello, Mr Yuliskov! 

I love Smart Tube Next. Forgive me if this is not the ideal place for this, but I would like to ask: Is there any chance to also develop an Android TV app for Odysee?

I found [this project](https://github.com/linimin/lbry-androidtv) but It's not working properly.

I would be happy if you could consider this option.

Thank you!

Greetings."
2650;Smart Tube Application - Black Screen and Buffering Issue;open;2023-06-26T04:33:08Z;2023-08-19T17:15:03Z;https://github.com/yuliskov/SmartTubeNext/issues/2650;9;"Title: Bug Report: Smart Tube Application - Black Screen and Buffering Issue

**Description:**

Hello everyone,

I wanted to bring your attention to a bug that I encountered while using the Smart Tube application. When I open the application for the first time, the videos do not start playing, instead, I am presented with a black screen. Despite having a stable internet connection, the videos continue buffering repeatedly without playing.

**Steps to Reproduce:**

1. Open the Smart Tube application.
2. Navigate to any video.
3. Observe that the video does not start playing and a black screen is displayed.
4. Notice that the video continuously buffers without playback.

**Expected Behavior:**

Upon opening the Smart Tube application, videos should start playing smoothly without any buffering issues, given a stable internet connection.

**Actual Behavior:**

Instead, the application displays a black screen and continuously buffers the video content, preventing playback.

**Additional Information:**

1. The issue persists even when I have a strong and stable internet connection, ruling out network-related problems.
2. I have tried closing and reopening the application, as well as restarting my device, but the issue persists consistently.
3. I have verified that other video streaming applications on my device do not exhibit similar issues, suggesting that the problem is specific to the Smart Tube application.

This bug significantly hampers the user experience, as it prevents seamless video playback upon opening the application. I hope that the development team can look into this matter and resolve it as soon as possible.

Please let me know if you require any additional information or if there is anything I can do to assist in resolving this issue.

Thank you.

Best regards,
soumik bose"
2497;Channels view not showing latest videos for some channels since 17.88;open;2023-05-10T17:12:20Z;2023-05-26T22:54:48Z;https://github.com/yuliskov/SmartTubeNext/issues/2497;9;"Since updating to 17.88, if I go to ""Channels"", for some channels several of the newest videos aren't displayed. As an example, one channel with the issue shows me a video from 9 days ago at the top, using the context menu to ""Open channel"" I can see that there are four newer videos which also show in my subscriptions tab.

This is on FireTV Stick."
2278;Video source isn't working or time is wong;closed;2023-03-02T16:40:43Z;2023-03-04T12:54:42Z;https://github.com/yuliskov/SmartTubeNext/issues/2278;9;"Pretty much any video over 5 minutes or so the error in the title comes up.
This started at 14.23_r and is also happening with 24
Running a Google 4k TV dongle. "
2182;buffer for 30s every 30s;open;2023-01-28T23:59:38Z;2023-02-13T19:55:32Z;https://github.com/yuliskov/SmartTubeNext/issues/2182;9;I have a 4-month-old Google TV.   After the last update, SmartTube stops every 30s to buffer for 30s.  I tried the lowest video settings and the highest buffer and can't get better than that.  Beta has the same problem as stable.  I reset the Wifi and got a new modem.  No change.  Is this something YouTube is doing to hobble SmartTube?
2042;ANOTHER REMINDER ABOUT THE BUFFER ISSUE;open;2022-12-08T18:05:43Z;2023-02-25T13:42:32Z;https://github.com/yuliskov/SmartTubeNext/issues/2042;9;"Please, there has to be a solution to fix this, I know it isnt just me that deals with this. Hell, even making it clear you are aware of the issue would make this a little better in terms of the issue being noticed. 

Issue is on a firestick 4k, and it isnt just on mine specifically, all firesticks in the house have the issue. Not even revanced has a buffer issue and that's a modified non ad apk. 

1gb up and down internet, and to top it off, nothing with my internet is blocking your application. It's all clean. Yet the buffer issue has been an issue for a year for me. Sometimes it's less of an issue after certain updates and sometimes its absolutely horrible after other updates. But here's the kicker! Deleting your app after an update that ruined it and downloading a downgraded version does nothing, the issue is just as bad as it was after a broken update. There has to be an underlying issue here but I'd like to know if it's your app or is it google changing things in their api that's fucking with your app... cause this is a headache.. nah, a migraine. 

Acknowledgement would be nice at the very least though. "
1787;Dependency updates.;closed;2022-08-15T14:44:22Z;2022-08-29T18:42:52Z;https://github.com/yuliskov/SmartTubeNext/pull/1787;9;"Added a Dependabot config if you wish to activate Dependabot on the Master github. Along with this, 6 dependencies were updated.

Dependency updates:

- firebase-crashlytics-gradle: 2.7.1 -> 2.9.1
- flexbox: 1.0.0 -> 2.0.1
- google-services: 4.3.10 -> 4.3.13
- gradle: 3.5.4 -> 7.2.2 (Almost 5 years outdated!?)
- material: 1.2.1 -> 1.6.1
- webpdecoder: 2.0 -> 2.0.4.12.0"
1656;"Please bring back the old ""Search functionality"" with search history listing";open;2022-06-30T03:43:52Z;2022-07-19T14:58:01Z;https://github.com/yuliskov/SmartTubeNext/issues/1656;9;"Hello!

I have been using Smart YT TV for a couple of years now, it's very good alternative to the ""original"" YT TV app, but since some releases of the new Smart Tube Next the functionality of the search feature went in a very wrong direction. What I mean is that it's no longer memorizes and lists the previous searches in a vertical list, where was easy to follow and choose from. I would like to ask why did you change this function, as it was so practical and convenient before? Now, with the recent versions of Smart Tube Next I have to input every search, every time again. It was much easier, when it was remembering and showing all my previous searches listed under the search filed. And I would like to ask if there's a possibility to bring back this feature working as it was before?

Hope I was expressing my request understandable and clear, I was tied to clarify as much as possible, but ask if any more clarification would be needed. 

Thank you and waiting for the reply!"
1655;Recommended channel;closed;2022-06-29T18:59:44Z;2022-06-30T21:17:21Z;https://github.com/yuliskov/SmartTubeNext/issues/1655;9;"STN Beta Version 15.06 I dont know if this is related to the Nvidia shield or STN, However all other apps work as expected. Under Customize your home screen/customize channels/STN Beta/STN Beta channels the Recommended channel just says ""Channel is empty"". Well it isnt obviously. Turning the switch on and off does nothing if i open the app there are videos showing up in recommended . If i go to the youtube app and switch on recommended the youtube one works fine. Tried rebooting tried unplugging for a few minutes tried clearing the cache . Thing is under play next i have a lot of videos and i would prefer not to lose them if i can help it so i have not cleared data . So is this a shield thing or ?"
1635;Voice search recently stopped working;open;2022-06-19T15:12:28Z;2022-07-10T16:05:45Z;https://github.com/yuliskov/SmartTubeNext/issues/1635;9;"A few updates ago, voice search stopped working for some reason. I updated to the latest  version within the app, currently 14.99, and it now correctly records the voice query but the search results don't show up automatically, it shows the text it recorded overlapping with the ""speak to search"" placeholder text:

![IMG_20220619_110805](https://user-images.githubusercontent.com/1582300/174487746-94e1699d-0f8b-461c-81d6-b558e8d06a84.jpg)

I have to hit the back/return button on my remote and then the placeholder text disappears and the search completes with results.

I have ""instant voice search"" and ""autofocus on search results"" enabled:

![IMG_20220619_111030](https://user-images.githubusercontent.com/1582300/174487860-0084b0f6-46ff-4203-adff-898f44f454ee.jpg)

This app has been working great otherwise, thanks!"
1564;App stopped working yesterday, can't access account-related content anymore;closed;2022-05-26T09:38:32Z;2022-08-11T14:38:28Z;https://github.com/yuliskov/SmartTubeNext/issues/1564;9;"The app worked great until yesterday, I can now no longer access my _channels_, _subscriptions_, _history_ and _playlists_.

I can still sign in fine, but none of the items mentioned above work. _Channels_ just displays a black empty screen, _Subscriptions_ displays 'can't load content', _History_ displays 'can't load content', _Playlists_ displays three playlists with empty grey boxes where the icons used to be.

I tried signing out and signing back in, reinstalling the app and using the latest beta instead of the latest stable version of _SmartTubeNext_ - no change.

My device is an NVIDIA Shield TV Pro 2019 with the latest official unmodified firmware.

**Please help :)**"
1347;Home screen channels ;closed;2022-03-07T13:34:27Z;2023-05-06T16:03:56Z;https://github.com/yuliskov/SmartTubeNext/issues/1347;9;"I installed the app on Android 8, but the app does not appear in the list of “Home screen channels” as well as the list of “Play Next” 

But it works without problems on Android 9
 
It also works on Android 8, but an old version of the app .
"
940;Option to Hide shorts below a chosen length;open;2021-09-27T04:31:41Z;2022-12-10T19:23:46Z;https://github.com/yuliskov/SmartTubeNext/issues/940;9;"Option to Hide shorts below a chosen length. I have the Hide shorts from Subscriptions option checked/enabled, Yet this option is only hiding videos below 50 seconds, This is leaving shorts in subscriptions 51 seconds and up. It would be nice to have the option to hide anything below 1 minute. 
Thank you for such a great app and all your hard work put into it. "
924;Feature Request: Random Play order of Playlist.;open;2021-09-22T12:24:48Z;2023-03-07T18:40:00Z;https://github.com/yuliskov/SmartTubeNext/issues/924;9;Please allow to play videos in a random order from a playlist.
720;Error installing on MiTV5;open;2021-06-28T13:03:50Z;2021-07-21T09:34:14Z;https://github.com/yuliskov/SmartTubeNext/issues/720;9;"Hi, I tried installing latest beta version on Mitv 5,but I shows error code of -1000.Tried resetting thr TV back to factory setting but it does not work. Anyone can advised or had succeeded in installing on MITV5?

Thanks..

![IMG_20210616_233216](https://user-images.githubusercontent.com/86604881/123640989-516ecb00-d854-11eb-9c61-0488dc7f2ce4.jpg)
"
700;Slow load with good internet. Videos stop;closed;2021-06-23T18:13:38Z;2021-06-25T17:09:46Z;https://github.com/yuliskov/SmartTubeNext/issues/700;9;"Hi, I've been having issues lately, can't watch videos in 1080p, it just can't load properly and sometimes videos in 720p get stuck again and again.

I don't have issues when playing 1080p videos on other apps like Disney plus for example. Is there anything I can do to fix this? Or is it a bug?"
692;Random problem with buffering of videos;open;2021-06-20T18:48:47Z;2021-06-26T01:58:04Z;https://github.com/yuliskov/SmartTubeNext/issues/692;9;"SmartTubeNext has some issues with buffering of videos on a NVidia ShieldTV. Description: 

1. Not every video is affected. 
2. The problem is not related the codec 
3. The problem is not related to the internet connection. I have no problem to play a certain 4k UHD video with 18mbit/s while 2k videos with 5mbit/s have this problem. A cross check with the Google YT app confirms this. Everything is fine there
4. Instead of building a buffer of 50s the buffer is emptying 
5. I had a similar issue with my web reader and had to delete data like cookies. 

To me it's looking like a change of protocol on the side of Google"
457;Picture in picture;closed;2021-02-10T16:14:55Z;2021-02-17T03:25:47Z;https://github.com/yuliskov/SmartTubeNext/issues/457;9;Hello, I've been using this app for a while now, however, I cannot get picture in picture to work. When I select only audio, background playback works, but selecting picture in picture does nothing. 
219;Proxy Settings;open;2020-11-27T08:16:47Z;2022-10-12T01:32:07Z;https://github.com/yuliskov/SmartTubeNext/issues/219;9;"As you know Youtube is blocked in some countries: https://en.wikipedia.org/wiki/Censorship_of_YouTube
So please add proxy support (Socks5).
Will be great.
Thank you very much."
131;Some videos cannot be played on beta 9.3;closed;2020-11-12T02:45:16Z;2020-11-13T14:41:02Z;https://github.com/yuliskov/SmartTubeNext/issues/131;9;Lots of videos can't be played, I tried on Sony ATV and Mibox S they couldn't play either.  I am using the latest Smarttube next beta 9.3.  With Google's Youtube, all of the above videos play well.  For example : https://youtu.be/O9W4lpwPaVk
2696;SmartTube好卡  网页youtube播放正常;open;2023-07-11T01:53:08Z;2023-08-31T23:43:54Z;https://github.com/yuliskov/SmartTubeNext/issues/2696;8;SmartTube好卡  网页youtube播放正常 手机播放也正常 是否有什么IP地址没走OPENCLASH  能告知吗  我在OPENCLASH设置
2692;Smart tube.  Beta.;open;2023-07-10T13:31:32Z;2023-07-25T09:44:32Z;https://github.com/yuliskov/SmartTubeNext/issues/2692;8;"Hi. Sir.
Since you have have done updates over the last days.

Some of the videos that would play with No problems.  Now try to play them and some of there new videos 
From my channels.  Eg  Don's Family Vacations. It won't play the screen goes black and you get a message shows up at the bottom of the screen.  Video Source isn't working or incorrect time. 
There are others that play with no problems.  Iam using the latest version SmartTube beta 18.46.

Thank you. 
Greg. "
2307;ATV smart youtube tv bridge cannot be installed;closed;2023-03-09T10:56:52Z;2023-06-03T22:44:24Z;https://github.com/yuliskov/SmartTubeNext/issues/2307;8;"I installed STN beta 17.35 on sony TV, it keeps prompting me to enable voice search and install ATV smart YouTube TV bridge but it cannot be installed.

No such problem on the hand phone. 

"
